district,block,elex_gp,lgd_gp,lgd_gp_code,match_distance,tie_count,match_quality
Unnao,Auras,Rampur Rai,Raipur,92105,0.2222222222222222,3,loose
Unnao,Nawabganj,Azizpur,Ajij Pur,92579,0.22023809523809523,3,loose
Hardoi,Benhadar,Siroli,Sirauly,67657,0.253968253968254,2,loose
Lucknow,Sarojninagar,Pyaar,Paharpur,75829,0.23333333333333345,2,loose
Lucknow,Sarojninagar,Auravan,Harauni,75804,0.28571428571428575,2,loose
Sitapur,Mishrikh,Atwa,Atava,89678,0.21666666666666667,2,loose
Sitapur,Ailiya,Gora,Gaura,88927,0.21666666666666667,2,loose
Sitapur,Biswan,Nyoraipur,Neurajpur,89122,0.22222222222222238,2,loose
Sitapur,Maholi,ADhora,Bahera,271116,0.22222222222222238,2,loose
Lakhimpur Khiri,Behjam Devi,Atwa,Atava,73115,0.21666666666666667,2,loose
Lakhimpur Khiri,Nakha,Velva,Belawa,73696,0.3,2,loose
Lakhimpur Khiri,Mohammadi,Khantrahara,Khetahara,73673,0.2112794612794614,2,loose
Lakhimpur Khiri,Palia,Patna,Patihan,73850,0.20952380952380956,3,loose
Lakhimpur Khiri,Isanagar,Basdhiya,Basaria,73292,0.22023809523809523,2,loose
Bahraich,Kaiserganj,Naugoiyan,Godahiya No. 1,49024,0.2993487993487994,4,loose
Bahraich,Prayagpur,Birpur,Arka Pur,49331,0.27777777777777785,2,loose
Bahraich,Prayagpur,Pair,Padri,49362,0.21666666666666667,3,loose
Shravasti,Gilola,Gilola,Gilaula,87666,0.21746031746031746,2,loose
Balrampur,Gainsadi,Lathawar,Majhauwa,50666,0.25000000000000006,2,loose
Balrampur,Shridattganj,Muzehana,Mujainna,50972,0.25000000000000006,2,loose
Gonda,Mujehana,Mujehana,Meghwa,65515,0.27777777777777785,2,loose
Gonda,Tarabganj,Raamaapur,Bhairampur,65811,0.2216931216931217,2,loose
Gonda,Tarabganj,Gopasarai,Gop Saray,65825,0.24338624338624346,2,loose
Barabanki,Banikoder,Malinpur,Bhanpur,51573,0.22023809523809523,3,loose
Barabanki,Puredlai,Khaboli,Khamauli,52246,0.22023809523809523,2,loose
Sultanpur,Doobepur,Fattehpur,Lakhipur,91205,0.27314814814814825,2,loose
Sultanpur,Kudwar,Narottampur,Bahmarpur,91628,0.242905242905243,2,loose
Faizabad,Masaudha,Mirjapurmafi,Firojpur,61039,0.25000000000000006,2,loose
Basti,Hareya,Mahughat,Mahuwapar,54141,0.27314814814814825,2,loose
Basti,Saugahat,Amauli,Amooli,54610,0.22222222222222238,2,loose
Basti,Raudhauli,Muriyar,Mahuar,54496,0.253968253968254,2,loose
Basti,Kaptaiganj,Madanpura,Basantpur,54181,0.22222222222222238,3,loose
Basti,Bankati,Sindhuria,Bhaura,53796,0.29629629629629634,3,loose
Basti,Saltoya Gopalpur,PaDRiyA Chetasinh,Parsa Khal,54586,0.296078431372549,2,loose
Basti,Saltoya Gopalpur,Ahar,Bahadurpur,267865,0.20000000000000007,2,loose
Siddharth Nagar,Bansi,Tiwaripur Purvi,Tiwaripur East,273860,0.2063492063492064,2,loose
Siddharth Nagar,Dumriaganj,Shyampur,Habibpur,273959,0.25000000000000006,2,loose
Siddharth Nagar,Bhanwaapur,Deghar,Dengarajot Kasturi,273965,0.29629629629629634,2,loose
Siddharth Nagar,Itwa,Pedari,Sehari,270261,0.22222222222222238,2,loose
Siddharth Nagar,Khuniyav,Bargadiha Purvi,Bargadwa (E),88510,0.2222222222222222,2,loose
Sant Kabeer Nagar,Nathnagar,Sadhra,Satehara,86120,0.24722222222222212,3,loose
Gorakhpur,Uruvaon,Viri Bu,Pipari Bujurg,67130,0.22710622710622724,2,loose
Gorakhpur,Uruvaon,Marwatia,Marcha,67115,0.27777777777777785,3,loose
Gorakhpur,Pali,Visri,Sisai,66829,0.26666666666666666,2,loose
Gorakhpur,Pali,Bijowa,Birar,271729,0.3,2,loose
Gorakhpur,Campier,Kalyanpur,Alagatpur,66250,0.22222222222222238,2,loose
Gorakhpur,Campier,Sahabganj,Machhali Gaon,66295,0.2905982905982906,2,loose
Gorakhpur,Gola,Ataraura,Dhaurahra,66472,0.25000000000000006,3,loose
Gorakhpur,Sardarnagar,Bhowapar,Bhau Pur,67032,0.25000000000000006,2,loose
Gorakhpur,Sahjanwao,Bhagoora,Bharsar,66970,0.22023809523809523,2,loose
Gorakhpur,Khajni,Dauro,Dorho,66684,0.26666666666666666,3,loose
Maharajganj,Paniyara,Badwaar,Baida,76789,0.20952380952380956,2,loose
Maharajganj,Paniyara,Badharalala,Baida,76789,0.27878787878787886,2,loose
Maharajganj,Maharajganj Sadar,Amrutiya,Imliya,76505,0.27777777777777785,2,loose
Maharajganj,Nautanwa,Vrilokpur,Harpur,76648,0.29629629629629634,3,loose
Kushinagar,Hata,Pagra,Parsahwa,74248,0.23333333333333345,2,loose
Kushinagar,Moti Chak,Farhada,Ashana,74448,0.253968253968254,2,loose
Kushinagar,Moti Chak,Lohepar,Bedupar,271152,0.28571428571428575,2,loose
Kushinagar,Sukaroli,Lehni Dvitiya,Sehni,74857,0.29743589743589743,2,loose
Mau,Ranipur,Mandusara,Jashara,78763,0.24338624338624346,2,loose
