sl_no,dist_name,samiti_name,gp,reservation,name,sex_manual,category,gp_new,dist_name_new,samiti_name_new
2354,BHILWARA,KOTRI,GEGA KA KHERA,General (Woman),CHANDA DEVI SHARMA,F,General (Woman),gega ka khera,BHILWARA,KOTRI
3220,CHITTORGARH,CHITTORGARH,SHAMBHUPURA,General (Woman),CHANDA JAT,F,OBC (Woman),shambhupura,CHITTORGARH,CHHITORGARH
3105,CHITTORGARH,BEGUN,MOTIPURA,General (Woman),CHANDA KANWAR,F,General (Woman),motipura,CHITTORGARH,BEGUN
9749,UDAIPUR,SAYARA,KARDA,SC (Woman),CHANDA KHATIK,F,SC (Woman),karda,UDAIPUR,SAYARA
3526,CHURU,SUJANGARH,ABSAR,General (Woman),CHANDA KUMARI,F,OBC (Woman),absar,CHURU,SUJANGARH
5754,JALORE,RANIW ARA,MAITRIVADA,SC (Woman),CHANDA KUMARI,F,SC (Woman),maitrivada,JALORE,RANIWARA
9840,UDAIPUR,KURABAD,BEMALA,General (Woman),CHANDA KUNWAR,F,General (Woman),bemala,UDAIPUR,KURABAD
8056,PRA T APGARH,CHOTI SADRI,JALODAJAGIR,ST (Woman),CHANDA MEENA,F,ST (Woman),jalodajagir,PRATAPGARH,CHHOTISADRI
9629,UDAIPUR,MAWALI,NOORDA,SC (Woman),CHANDA SALVI,F,SC (Woman),noorda,UDAIPUR,MAVLI
4117,DUNGARPUR,SAGW ARA,GOVADI,ST (Woman),CHANDA SARPOTA,F,ST (Woman),govadi,DUNGARPUR,SAGWARA
7097,KOT A,ITAWA,NIMOL A,SC (Woman),CHANDA VERMA,F,SC (Woman),nimol a,KOTA,ITAWA
1404,BARMER,BARMER,BHADKHA,SC (Woman),CHANDANA,F,SC (Woman),bhadkha,BARMER,BARMER
4906,JAIPUR,AMER,NANGAL SUSAWATAN,General (Woman),CHANDANI KUMARI MEENA,F,ST (Woman),nangal susawatan,JAIPUR,AMBER
7692,NAGAUR,KHINW ASAR,KARNU,OBC,CHANDARAM,M,OBC,karnu,NAGAUR,KHINW ASAR
7467,NAGAUR,MERTA,PUNDALU,SC,CHANDARAM,M,SC,pundalu,NAGAUR,MERTA
4067,DUNGARPUR,BICHIW ARA,DHAMOD,ST (Woman),CHANDARKLA,F,ST (Woman),dhamod,DUNGARPUR,BICHHIWARA
4394,GANGANAGAR,KARANPUR,FUSEW ALA,General,CHANDERBHAN,M,OBC,fusew ala,GANGANAGAR,KARANPUR
4846,ANUMANGAR,H SANGARIYA,KISHANPURA UTRADA,OBC (Woman),CHANDERKALA,F,OBC (Woman),kishanpura utrada,HANUMANGARH,SANGARIYA
1280,BARAN,CHHIP ABAROD,P ACHHAD,OBC (Woman),CHANDERKALA BAI,F,OBC (Woman),pachhad,BARAN,CHHIPABAROD
2255,BHILWARA,ASIND,ROOPPURA,ST (Woman),CHANDI DEVI BHIL,F,ST (Woman),rooppura,BHILWARA,ASIND
3179,CHITTORGARH,BHOP ALSAGAR,MURL A,General,CHANDMAL,M,OBC,murl a,CHITTORGARH,BHOPALSAGAR
287,ALWAR,BANSUR,DEVSAN,General (Woman),CHANDMAL,F,OBC (Woman),devsan,ALWAR,BANSUR
2303,BHILWARA,HURDA MANDAL,TOKARW AD,General (Woman),CHANDNI KANWAR,F,General (Woman),tokarwad,BHILWARA,HURDA
449,ALWAR,LAXMANGARH,BUTOLI,OBC,CHANDODEVI,F,OBC,butoli,ALWAR,LAXMANGARH
4426,GANGANAGAR,P ADAMPUR,83 LNP(JODKAIYA),General (Woman),CHANDODEVI,F,OBC (Woman),83 lnp(jodkaiya),GANGANAGAR,PADAMPUR
2863,BIKANER,P ANCHU,KAKKU,General (Woman),CHANDRA,F,OBC,kakku,BIKANER,P ANCHU
1814,BARMER,GADRAROAD,BALEWA,OBC (Woman),CHANDRA BAI,F,OBC (Woman),balewa,BARMER,GADRAROAD
9663,UDAIPUR,SALUMBER,KARAVALI,ST (Woman),CHANDRA BALA,F,ST (Woman),karavali,UDAIPUR,SALUMBAR
9025,SIROHI,REODAR,REODAR,SC (Woman),CHANDRA BEN,F,SC (Woman),reodar,SIROHI,REODAR
5652,JALORE,CHITALWANA,JORADER,General (Woman),CHANDRA DEVI,F,General (Woman),jorader,JALORE,CHITALWANA
